artist_id,artist_name,popularity
1126,jon bon jovi,0.58
7485,cut copy,0.57
42009,ted herold,0.46
27062,george bruns,0.47
11731,charlie sexton,0.46
485298,erik og kriss,0.56
930501,beenie man fambo,0.5
1863130,naâman,0.48
1107233,ambassadeurs,0.46
3418896,e-40 kamaiyah,0.29
9873,phil fearon galaxy,0.46
1277052,stein urheim,0.48
2302840,devvon terrell feat kazzie,0.46
3592,emma kirkby,0.48
1425936,yuma sun,0.46
845394,gazelle twin,0.46
1486876,before you exit,0.51
20102,oliver wallace,0.48
12359,max richter,0.58
123723,delorean,0.48
280607,the chi lites,0.47
1231739,roman lob,0.46
110609,runa laila,0.46
3557413,tony moran jason walker dj strobe,0.3
1918404,coastgaard,0.46
25699,obsession,0.47
3307254,yo preston,0.31
1516296,spa relaxation,0.36
16323,ryuichi sakamoto,0.54
2043557,irina lankova,0.49
4028,cherish,0.52
3697,ofra haza,0.48
797279,hip hop djs united,0.53
132678,daft punk - stardust,0.47
1062179,karaoke all hits,0.53
2046451,sid batham,0.35
94637,aqualeo,0.48
18327,st germain,0.55
188633,willie clayton,0.46
3354761,eva silvestre,0.29
1078793,for king country,0.63
285519,grossstadtgeflüster,0.43
1390466,jonathan charlotte,0.48
1334849,hits etc,0.48
1058943,emily saunders,0.48
410425,those norwegians,0.49
182549,bamberg symphony orchestra,0.47
112820,the libertines,0.58
511377,morten gunnar larsen,0.46
1856875,tigers jaw,0.47
2060693,shadow child feat takura,0.47
9479,mirah denmark,0.49
139875,august rush motion picture soundtrack,0.43
1994784,buble michael,0.33
3461763,arielle dombasle nicolas ker,0.3
1568,brook benton,0.55
1312581,video games live,0.49
2069510,kristen bell idina menzel,0.48
1398251,charlotte carpenter,0.45
1271968,tulisa,0.57
9110,raf,0.5
2597206,judy carr the home base hoodlums,0.46
1961141,bjørn eidsvåg feat kurt nilsen,0.29
789046,for all those sleeping,0.48
400534,sarah dawn finer,0.48
4312,gidon kremer,0.51
1004243,tity boi,0.43
3472969,mc zhang,0.3
2378389,the new basement tapes,0.51
203985,peter hurford,0.48
12820,thunder,0.54
1481120,calm ocean sounds,0.33
3481176,s p balasubrahmanyam ilaiyaraaja,0.29
157076,metrik,0.48
8858,clear vu,0.47
289691,righeira,0.48
88413,pfm,0.49
2120,lionel hampton his orchestra,0.46
25747,bill lee,0.51
3034,ray parker jr,0.51
11588,nino rota,0.5
870979,vondelpark,0.48
1246235,coco jones,0.52
3514999,sigma birdy,0.31
1244887,christa vi,0.37
21381,gal costa,0.51
1504971,dirt cheap,0.46
1102116,faizal tahir,0.5
683671,guti,0.46
2477940,nicki minaj chris brown drake lil wayne,0.55
9738,thunderstone,0.49
2279686,king yella,0.37
1427015,gogo penguin,0.54
1463966,lucas lucco,0.52
2314362,charts hits 2014,0.51
222362,roberto,0.48
