name,gracenote_name
Charlotte-Mecklenburg School System,Charlotte-Mecklenburg School System
Charming China,Charming China
CharmTV ,CharmTV 
CHARTER,CHARTER
CHAT,CHAT
Chemeketa Educational Access,Chemeketa Educational Access
Cheshire ,Cheshire 
CHI Health,CHI Health
Chicago Loop ,Chicago Loop 
Chilevision Canal 11,Chilevision Canal 11
Chiller,Chiller
CHINA MOVIE CHANNEL,CHINA MOVIE CHANNEL
China TV News,China TV News
China Xinhua News,China Xinhua News
China Yellow River ,China Yellow River 
Chinese Channel,Chinese Channel
Chinese Prime,Chinese Prime
Chittenden Community TV,Chittenden Community TV
Chong Qing,Chong Qing
Chongqing,Chong Qing
Christian ,Christian 
ChukkerTV,ChukkerTV
Cine Estelar,Cine Estelar
Cine Latino,Cine Latino
Cine Latino US,Cine Latino US
Cine Mexicano US Feed ,Cine Mexicano US Feed 
Cine Nostalgia,Cine Nostalgia
Cine Sony Television,Cine Sony Television
CineBangla,CineBangla
CineClasico,CineClasico
Cinema,Cinema
Cinema Dinamita ,Cinema Dinamita 
Cinema One,Cinema One
Cinema One Global,Cinema One Global
Cinemax,Cinemax
Cinemax en espanol,Cinemax en espanol
Cinemax Mexico,Cinemax Mexico
Cinemax On Demand,Cinemax On Demand
Cinemax Spanish,Cinemax Spanish
Cinemoi US,Cinemoi US
CISA ,CISA 
Citizens Cable ,Citizens Cable 
City Channel,City Channel
City Council Meeting,City Council Meeting
City Government,City Government
City Information TW Columbia,City Information TW Columbia
City of Austin,City of Austin
City of Buffalo Channel 21,City of Buffalo Channel 21
City of Carpenteria/Government Access TV 20,City of Carpenteria/Government Access TV 20
City of Cedar Falls 15,City of Cedar Falls 15
City of Charlotte Government Channel,City of Charlotte Government Channel
City of Cleveland - TV 20,City of Cleveland - TV 20
City of Corpus Christi,City of Corpus Christi
City of Ft. Pierce Government Access,City of Ft. Pierce Government Access
City of Greensboro Educ Access ,City of Greensboro Educ Access 
City of Greensboro Govt Access ,City of Greensboro Govt Access 
City of Greensboro Public Access ,City of Greensboro Public Access 
City of Houston-The Municipal Channel,City of Houston-The Municipal Channel
City of Rancho Palos Verdes Ch 35,City of Rancho Palos Verdes Ch 35
City of Santa Barbara,City of Santa Barbara
City of Torrance 22,City of Torrance 22
City of Torrance 28,City of Torrance 28
City of Torrance 3,City of Torrance 3
City of Wichita Falls,City of Wichita Falls
City of Yuma,City of Yuma
Classic Arts Showcase,Classic Arts Showcase
Classic Movies On Demand,Classic Movies On Demand
Classic Rewind,Classic Rewind
Classic Vinyl,Classic Vinyl
Cloo,Cloo
CLTV,CLTV
Club Jenna On Demand,Club Jenna On Demand
Clubbing TV,Clubbing TV
CMT,CMT
CMT Music,CMT Music
CN Plus,CN Plus
CNBC,CNBC
CNBC ASIA,CNBC ASIA
CNBC Olympics,CNBC Olympics
CNBC World,CNBC World
CNN ,CNN 
CNN En Espanol Latin America,CNN En Espanol Latin America
CNN En Espanol Mexico and US,CNN En Espanol Mexico and US
CNN en Espanol United States,CNN en Espanol United States
CNN Headline News LatinAm,CNN Headline News LatinAm
CNN International,CNN International
CNN International Asia,CNN International Asia
CNN Newsource,CNN Newsource
CNN On Demand,CNN On Demand
CNN Showcase On Demand,CNN Showcase On Demand
CNNI Latin America,CNNI Latin America
CNT Brazil,CNT Brazil
College Access Channel 56 ,College Access Channel 56 
College Football ,College Football 
College Park of Maryland,College Park of Maryland
College Sports Television On Demand,College Sports Television On Demand
College Television Network - LOCTN,College Television Network - LOCTN
Colors Bangla,Colors Bangla
Colors Marathi,Colors Marathi
Colours TV ,Colours TV 
Columbia Cable Washington - CCTV,Columbia Cable Washington - CCTV
Columbia County Community Access,Columbia County Community Access
Columbus Community Bulletin Board,Columbus Community Bulletin Board
COMADS/SonLife,COMADS/SonLife
comcast ,comcast 
Comcast 100,Comcast 100
Comcast 13 Minneapolis,Comcast 13 Minneapolis
Comcast 4,Comcast 4
Comcast 76 Community TV,Comcast 76 Community TV
Comcast Central,Comcast Central
Comcast Sports,Comcast Sports
Comcast Sportsnet,Comcast Sportsnet
Comedy,Comedy
Comedy Central,Comedy Central
Comedy TV,Comedy.TV
Comet,Comet
Command Channel USAF,Command Channel USAF
Commanders Access,Commanders Access
Community ,Community 
Community Access,Community Access
Community Billboard,Community Billboard
Community Calendar,Community Calendar
Community College of Philadelphia,Community College of Philadelphia
Community College of Philadelphia 53,Community College of Philadelphia 53
Community Connection,Community Connection
Community Interest on Demand,Community Interest on Demand
Community Listings,Community Listings
Community Media Center,Community Media Center
Community Programming ,Community Programming 
COMMUNITY TV KNOXVILLE,COMMUNITY TV KNOXVILLE
COMPAS Local Access,COMPAS Local Access
Concordia Jamestown Local Channel,Concordia Jamestown Local Channel
Connecticut Sports Network,Connecticut Sports Network
Connellsville,Connellsville
Consolidated Communications Community Channel,Consolidated Communications Community Channel
Contra Costa Television ,Contra Costa Television 
cooking ,cooking 
Cooking Channel,Cooking Channel
CookSpace,CookSpace
Cornerstone ,Cornerstone 
Cornerstore,Cornerstore
Corvallis Government Access,Corvallis Government Access
Corvallis Public Access,Corvallis Public Access
Corvallis Public Schools,Corvallis Public Schools
COTV HD,COTV HD
Country Music Television,Country Music Television
Country music tv,Country music tv
County News Center,County News Center
COX,COX
COZI TV,COZI TV
CPC Community Programming,CPC Community Programming
Create,Create
Credo Channel 18,Credo Channel 18
Credo TV,Credo TV
Crime & Investigation,Crime & Investigation
Crime and Investigation ,Crime & Investigation
Crime Plus Investigation,Crime Plus Investigation
Crossings ,Crossings 
CSN ,CSN 
CSPAN,CSPAN
CSPAN2,CSPAN2
CSPAN3,CSPAN3
CTN Community,CTN Community
CTN Connecticut Public Affairs,CTN Connecticut Public Affairs
CTN Government,CTN Government
CTN Information,CTN Information
CTN LifeStyle,CTN LifeStyle
CTS ,CTS 
CTS Korean Christian Channel,CTS Korean Christian Channel
CTSA Catholic Television of San Antonio,CTSA Catholic Television of San Antonio
CTV,CTV
CTV Civic,CTV Civic
CTV Sports,CTV Sports
CTV Two ,CTV Two 
Cuba Play,Cuba Play
CubaMax,CubaMax
Cubavision,Cubavision
Cultura,Cultura
CUNY,CUNY
CV Hamilton Township Schools,CV Hamilton Township Schools
CW Plus ,CW Plus 
Cyclone ,Cyclone 
Damas ,Damas 
Dandana ,Dandana 
Dare to Dream,Dare to Dream
DATV,DATV
Dawn News,Dawn News
Daystar,Daystar
Dayton Spiritual Television,Dayton Spiritual Television
De Pelicula,De Pelicula
DEALS,DEALS
Decades,Decades
Deer Lakes School District,Deer Lakes School District
Delaware Bulletin Board,Delaware Bulletin Board
Delhi AajTak,Delhi AajTak
Desh,Desh
Design Network ,Design Network 
Destination America ,Destination America 
Destinos ,Destinos 
Detsky Kids,Detsky Kids
Deutsche Welle Amerika,Deutsche Welle Amerika
Dinosaurland Channel,Dinosaurland Channel
Discovery en Espanol,Discovery en Espanol
Discovery Familia ,Discovery Familia 
Discovery Family ,Discovery Family 
Discovery Home ,Discovery Home 
Discovery Kids ,Discovery Kids 
Discovery Latin America,Discovery Latin America
Discovery Life ,Discovery Life 
Discovery Science ,Discovery Science 
Discovery Theater ,Discovery Theater 
Discovery Turbo ,Discovery Turbo 
DISH Bloomberg,DISH Bloomberg
Dish College Sports,Dish College Sports
Dish Home Interactive TV,Dish Home Interactive TV
DISH Music Hopper Portal,DISH Music Hopper Portal
DISH Network,DISH Network
Dish Studio,Dish Studio
Disney,Disney 
Disney Channel,Disney 
Disney Family ,Disney Family 
Disney Junior ,Disney Junior 
Disney XD,Disney XD
Disney XD en espanol,Disney XD en espanol
DistracTV Games,DistracTV Games
District Knowledge Network,District Knowledge Network
Diya TV,Diya TV
do it yourself,Do-It-Yourself Network
DocuBox,DocuBox
Documentary Canada,Documentary Canada
DOG TV,DOG TV
Do-It-Yourself Network,Do-It-Yourself Network
Dom Kino,Dom Kino
Dominican View,Dominican View
DOMINICANA,DOMINICANA
Doppler Weather Radar,Doppler Weather Radar
Doral News TV,Doral News TV
DRAGON TV,DRAGON TV
Dream 2,Dream 2
Driver TV ,Driver TV 
DTV Cinema,DTV Cinema
Dubai Sports,Dubai Sports
duck tv,ducktv
ducktv,ducktv
Dunya TV USA,Dunya TV USA
Durham Channel,Durham Channel
DUTV Drexel University Ch. 54,DUTV Drexel University Ch. 54
E ,E!
E TV ,E!
E! Entertainment,E!
E! Entertainment Television,E!
E entertainment ,E!
Eagle Customer Information,Eagle Customer Information
EAS Channel,EAS Channel
Eastern Carolina Network,Eastern Carolina Network
Eastern Kentucky Broadcasting,Eastern Kentucky Broadcasting
Eatel SEC Net,Eatel SEC Net
EATEL TIGERVISION,EATEL TIGERVISION
EATEL VIDEO LOCAL PROGRAMMING,EATEL VIDEO LOCAL PROGRAMMING
Ebru TV,Ebru TV
EBS America,EBS America
Ecuador TV International,Ecuador TV International
EcuaTV,EcuaTV
Ecuavisa International,Ecuavisa International
Ecumenical Television Channel,Ecumenical Television Channel
Edge Sport,Edge Sport
EdTV,EdTV
EDUCATION NETWORK,EDUCATION NETWORK
El Cantinazo TV,El Cantinazo TV
El Financiero ,El Financiero 
El Garage TV,El Garage TV
El Paso Instructional Channel,El Paso Instructional Channel
El Quran Al Kareem,El Quran Al Kareem
El Rey Network,El Rey Network
ElGourmet.com,ElGourmet.com
Elizabeth Custom Channel,Elizabeth Custom Channel
Emergency Alert Channel,Emergency Alert Channel
EmoryVision,EmoryVision
Energie 2,Energie 2
English Premier League Soccer Extra Time,English Premier League Soccer Extra Time
English Premiere League Soccer,English Premiere League Soccer
Enlace,Enlace
Enlace Juvenil,Enlace Juvenil
ENRICH TV,ENRICH TV
Epix ,Epix 
EPIX 2 ,EPIX 2 
Epix Hits,Epix Hits
Epix SD,Epix SD
Eros Now On Demand,Eros Now On Demand
EROTIC CLIPS,EROTIC CLIPS
Escape,Escape
eScapes,eScapes
Esperanza TV,Esperanza TV
ESPN,ESPN
ESPN 2,ESPN2
ESPN 3,ESPN3
ESPN Bases Loaded,ESPN Bases Loaded
ESPN Buzzer Beater,ESPN Buzzer Beater
ESPN Classic,ESPN Classic
ESPN College Extra ,ESPN College Extra 
ESPN Deportes,ESPN Deportes
ESPN Extra,ESPN Extra
ESPN Full Court ,ESPN Full Court 
ESPN Goal Line,ESPN Goal Line
ESPN International,ESPN International
ESPN NEWS,ESPNEWS
ESPN U,ESPNU
ESPN University ,ESPN University 
ESPN2,ESPN2
ESPN3,ESPN3
ESPNBI,ESPNBI
ESPNEWS,ESPNEWS
ESPNU,ESPNU
Esquire,Esquire
Estrella ,Estrella 
eStudio5 ,eStudio5 
ET China,ET China
ET Financial News,ET Financial News
ET Global ,ET Global 
ET Global NY,ET Global NY
ETC Sports Channel,ETC Sports Channel
Eternal Word ,Eternal Word 
ETTV Drama,ETTV Drama
ETTV Global,ETTV Global
ETTV News,ETTV News
ETTV Super Channel ,ETTV Super Channel 
Eugene Educational Access,Eugene Educational Access
Eugene Government Access,Eugene Government Access
EULOCA,EULOCA
Euro News,Euro News
Eurochannel,Eurochannel
Euronews,Euronews
Eurosport ,Eurosport 
Eurotica,Eurotica
EWTN espanol,EWTN espanol
EWTN espanol HD,EWTN espanol HD
EWTN Latin America,EWTN Latin America
EWTN Pacific Rim,EWTN Pacific Rim
EXA TV,EXA TV
Explore Optimum espanol,Explore Optimum espanol
Expo TV On Demand,Expo TV On Demand
Express Entertainment,Express Entertainment
Express News,Express News
Exxxtsy Channel ,Exxxtsy Channel 
Exxxtsy Premium,Exxxtsy Premium
Faction,Faction
Fairfax County Government,Fairfax County Government
Fairfax County Public Schools Red Apple,Fairfax County Public Schools Red Apple
Family Channel ,Family Channel 
Family Entertainment Television,Family Entertainment Television
Family Friendly Entertainment,Family Friendly Entertainment
FamilyNet,FamilyNet
Fantasy Sports,Fantasy Sports
Fashion One,Fashion One
Fashion TV ,Fashion TV 
FashionBox,FashionBox
Fastnfunbox,Fastnfunbox
Fayetteville Cumberland Educational TV,Fayetteville Cumberland Educational TV
Fayetteville Government Channel,Fayetteville Government Channel
FHSU Programming,FHSU Programming
Fidelity 6,Fidelity 6
Fido TV,Fido TV
FightBox,FightBox
Filipino on Demand,Filipino on Demand
Filmazia,Filmazia
FilmBox Arthouse,FilmBox Arthouse
Filmbox Russia,Filmbox Russia
Films on Reel,Films on Reel
Filmy,Filmy
Finger Lakes Television,Finger Lakes Television
FiOS ,FiOS 
First Nations Experience,First Nations Experience
First Wave,First Wave
FLAGLER TV,FLAGLER TV
Flint 14,Flint 14
Flix,Flix
Florida Channel,Florida Channel
FM,FM
Food,Food
Food channel ,food
Food Food,Food Food
Food network ,Food
Foothills Broadband TV,Foothills Broadband TV
Formosa TV,Formosa TV
Foro TV,Foro TV
Fox Business,Fox Business
FOX Classics,FOX Classics
Fox College Sports ,Fox College Sports 
Fox Deportes,Fox Deportes
Fox Life Latin America,Fox Life Latin America
FOX Movies ,FOX Movies 
FOX News,FOX News
Fox Soccer ,Fox Soccer 
Fox Sports ,Fox Sports 
Fox Sports Prime ,Fox Sports Prime 
Fox Sports Racing,Fox Sports Racing
FOX Sports Sun,FOX Sports Sun
FoxLife US,FoxLife US
France 24,France 24
France 24 English,France 24 English
Frankfort Plant Board,Frankfort Plant Board
Freckle,Freckle
Free Speech TV,Free Speech TV
Freedom Radio,Freedom Radio
Freeform,Freeform
