track_id,artist_id,title,popularity,album_id
6393013,259602,heart of a lion kid cudi theme music,0.36,576873
6393007,259602,solo dolo nightmare,0.36,576873
6393063,259602,cudi zone,0.37,576873
6393039,259602,sky might fall,0.36,576873
6393002,259602,soundtrack 2 my life,0.38,576873
23984637,259602,unf wittable,0.36,2229860
23984652,259602,king wizard,0.36,2229860
23984656,259602,immortal,0.36,2229860
21081761,259602,pursuit of happiness,0.39,1936625
24062442,259602,mad solar,0.36,2236086
24062453,259602,cold blooded,0.36,2236086
24062451,259602,lord of the sad and lonely,0.36,2236086
24062449,259602,burn baby burn,0.36,2236086
24062430,259602,immortal,0.37,2236086
24062428,259602,king wizard,0.36,2236086
24062421,259602,unfuckwittable,0.37,2236086
6391982,259602,soundtrack 2 my life,0.37,576705
6391990,259602,solo dolo nightmare,0.36,576705
6391998,259602,heart of a lion kid cudi theme music,0.36,576705
6392006,259602,day n nite nightmare,0.37,576705
6392023,259602,cudi zone,0.36,576705
6392031,259602,pursuit of happiness nightmare,0.37,576705
6392040,259602,up up away,0.37,576705
20991869,259602,marijuana,0.38,1926502
20991866,259602,revofev,0.36,1926502
20991883,259602,trapped in my mind,0.36,1926502
20991882,259602,ghost,0.36,1926502
20991880,259602,all along,0.36,1926502
20991877,259602,mr rager,0.37,1926502
20991876,259602,maniac,0.36,1926502
20991873,259602,erase me,0.37,1926502
20991872,259602,ashin kusher,0.36,1926502
20991870,259602,mojo so dope,0.36,1926502
49862285,260003,i mörkret långt ifrån varann,0.36,4914203
49862281,260003,jag har gjort det igen,0.36,4914203
49862288,260003,du går nu,0.37,4914203
49862293,260003,de två årstiderna,0.37,4914203
49862299,260003,där går mitt liv,0.36,4914203
49862307,260003,livet ropade,0.36,4914203
49862313,260003,efter jul,0.36,4914203
49862325,260003,jag gör aldrig om det här,0.36,4914203
5675020,260047,leave out all the rest twilight soundtrack version,0.37,512805
5675011,260047,decode,0.4,512805
5675004,260047,supermassive black hole twilight soundtrack version,0.36,512805
5675064,260047,i caught myself twilight soundtrack version,0.36,512805
58316178,261309,the game,0.37,5830404
43380853,261342,the day before i met you acoustic,0.36,4209667
43380855,261342,can i get a moment acoustic,0.37,4209669
36736474,261342,sea of flags,0.36,3488307
40103067,261342,can i get a moment,0.38,3858185
48236832,261342,this ain't love,0.42,4750376
30581240,261342,to the end of the earth,0.37,2857238
58186765,261613,i'm back,0.45,5812933
58186784,261613,renegade,0.45,5812933
58186785,261613,expect us feat dab eden myrrh,0.39,5812933
58186786,261613,hold up,0.44,5812933
